account_id,security_id,asset_class,quantity,price,market_value,currency,price_date
ACC-10003,US0000001111,ETF,108.0,463.5318,50061.43,EUR,2024-01-15
ACC-10013,US0000001093,Bond,2213.0,474.9485,1051061.03,EUR,2024-01-15
ACC-10021,US0000001031,Bond,3627.0,157.1579,570011.7,EUR,2024-01-15
ACC-10027,US0000001083,Equity,2072.0,154.871,320892.71,USD,2024-01-15
ACC-10027,US0000001097,ETF,3419.0,452.3747,1546669.1,EUR,2024-01-15
ACC-10020,US0000001103,Bond,2785.0,10.1989,28403.94,USD,2024-01-15
ACC-10028,US0000001148,Bond,3073.0,167.9021,515963.15,GBP,2024-01-15
ACC-10014,US0000001130,ETF,2419.0,451.5786,1092368.63,USD,2024-01-15
ACC-10006,US0000001072,Bond,2626.0,320.141,840690.27,USD,2024-01-15
ACC-10016,US0000001079,Equity,1201.0,107.5737,129196.01,USD,2024-01-15
ACC-10016,US0000001121,Bond,3095.0,386.5598,1196402.58,GBP,2024-01-15
ACC-10037,US0000001049,Bond,3620.0,198.1494,717300.83,USD,2024-01-15
ACC-10010,US0000001001,Equity,4474.0,431.6159,1931049.54,GBP,2024-01-15
ACC-10015,US0000001045,Bond,4040.0,350.9968,1418027.07,USD,2024-01-15
ACC-10036,US0000001063,Equity,4596.0,69.4657,319264.36,GBP,2024-01-15
ACC-10034,US0000001143,Bond,3018.0,475.5194,1435117.55,EUR,2024-01-15
ACC-10033,US0000001109,Equity,4170.0,278.4573,1161166.94,EUR,2024-01-15
ACC-10031,US0000001115,ETF,1370.0,131.1475,179672.08,GBP,2024-01-15
ACC-10034,US0000001124,Equity,3171.0,144.5527,458376.61,EUR,2024-01-15
ACC-10019,US0000001060,ETF,1431.0,166.6577,238487.17,USD,2024-01-15
ACC-10009,US0000001038,ETF,1233.0,350.0354,431593.65,USD,2024-01-15
ACC-10005,US0000001106,Bond,2097.0,275.8795,578519.31,USD,2024-01-15
ACC-10014,US0000001107,ETF,2008.0,387.1999,777497.4,USD,2024-01-15
ACC-10037,US0000001097,Bond,2437.0,471.9434,1150126.07,GBP,2024-01-15
ACC-10027,US0000001137,ETF,3763.0,277.6048,1044626.86,USD,2024-01-15
ACC-10032,US0000001056,Bond,1437.0,247.9646,356325.13,GBP,2024-01-15
ACC-10026,US0000001042,ETF,4218.0,460.5754,1942707.04,EUR,2024-01-15
ACC-10002,US0000001100,Equity,3000.0,334.8699,1004609.7,EUR,2024-01-15
ACC-10028,US0000001034,Bond,4348.0,99.0472,430657.23,GBP,2024-01-15
ACC-10027,US0000001064,ETF,4191.0,240.4503,1007727.21,EUR,2024-01-15
ACC-10004,US0000001089,ETF,1199.0,43.623,52303.98,USD,2024-01-15
ACC-10002,US0000001063,Equity,1077.0,19.9862,21525.14,USD,2024-01-15
ACC-10009,US0000001121,Equity,3380.0,286.3451,967846.44,GBP,2024-01-15
ACC-10017,US0000001094,ETF,0.0,307.5513,283562.3,EUR,2024-01-15
ACC-10008,US0000001041,Equity,4827.0,62.9684,303948.47,GBP,2024-01-15
ACC-10037,US0000001096,Equity,2044.0,360.3572,736570.12,EUR,2024-01-15
ACC-10016,US0000001026,ETF,3516.0,157.7755,554738.66,EUR,2024-01-15
ACC-10008,US0000001144,Bond,3935.0,180.1298,708810.76,EUR,2024-01-15
,US0000001017,Bond,2579.0,177.2033,457007.31,GBP,2024-01-15
ACC-10010,US0000001111,ETF,963.0,265.6559,255826.63,GBP,2024-01-15
ACC-10040,US0000001137,ETF,3896.0,237.7881,926422.44,EUR,2024-01-15
ACC-10018,US0000001082,Equity,4273.0,417.0582,1782089.69,GBP,2024-01-15
ACC-10029,US0000001062,ETF,3777.0,289.2263,1092407.74,GBP,2024-01-15
ACC-10023,US0000001066,ETF,0.0,441.3568,780318.82,GBP,2024-01-15
ACC-10036,US0000001002,Equity,2631.0,103.6176,272617.91,EUR,2024-01-15
ACC-10027,US0000001125,Bond,0.0,127.7587,360279.53,EUR,2024-01-15
ACC-10032,US0000001114,Equity,3985.0,55.5961,221550.46,GBP,2024-01-15
ACC-10016,US0000001078,ETF,3353.0,190.82,639819.46,EUR,2024-01-15
ACC-10023,US0000001108,Bond,4983.0,279.6904,1393697.26,ZZZ,2024-01-15
ACC-10030,US0000001069,ETF,1602.0,122.9636,196987.69,USD,2024-01-15
ACC-10021,US0000001030,ETF,3740.0,475.93,1779978.2,USD,2024-01-15
,US0000001055,ETF,3719.0,145.4848,541057.97,EUR,2024-01-15
ACC-10039,US0000001072,Bond,4905.0,417.9879,2050230.65,USD,2024-01-15
ACC-10024,US0000001045,Equity,1581.0,356.9291,564304.91,GBP,2024-01-15
ACC-10003,US0000001013,Equity,2811.0,351.7345,988725.68,EUR,2024-01-15
ACC-10032,US0000001026,Bond,4376.0,291.2915,1274691.6,GBP,2024-01-15
ACC-10029,US0000001087,Bond,1003.0,35.1746,35280.12,USD,2024-01-15
ACC-10005,US0000001102,ETF,2510.0,292.7404,734778.4,USD,2024-01-15
ACC-10010,US0000001038,Equity,4075.0,475.0716,1935916.77,USD,2024-01-15
ACC-10008,US0000001142,ETF,3846.0,307.0956,1181089.68,USD,2024-01-15
ACC-10034,US0000001097,ETF,2308.0,226.9333,523762.06,GBP,2024-01-15
ACC-10020,US0000001145,ETF,3143.0,308.7191,970304.13,USD,2024-01-15
ACC-10014,US0000001054,Equity,1397.0,49.7819,69545.31,USD,2024-01-15
ACC-10036,US0000001019,ETF,867.0,210.1736,182220.51,EUR,2024-01-15
ACC-10031,US0000001074,Bond,260.0,151.1714,39304.56,EUR,2024-01-15
ACC-10030,US0000001018,ETF,3468.0,462.7164,1604700.48,EUR,2024-01-15
ACC-10013,US0000001108,Equity,662.0,120.1566,79543.67,GBP,2024-01-15
ACC-10010,US0000001018,ETF,392.0,398.388,156168.1,EUR,2024-01-15
ACC-10037,US0000001073,Bond,2252.0,239.662,539718.82,EUR,2024-01-15
ACC-10026,US0000001069,Equity,2552.0,251.9597,643001.15,EUR,2024-01-15
ACC-10003,US0000001110,Equity,3699.0,305.8197,1131227.07,USD,2024-01-15
ACC-10015,US0000001147,ETF,2977.0,20.1653,60032.1,GBP,2024-01-15
ACC-10037,US0000001010,ETF,3839.0,95.8435,367943.2,EUR,2024-01-15
ACC-10029,US0000001071,ETF,989.0,296.8115,293546.57,GBP,2024-01-15
ACC-10006,US0000001120,ETF,1805.0,173.3211,312844.59,USD,2024-01-15
ACC-10011,US0000001084,ETF,2117.0,252.7798,535134.84,GBP,2024-01-15
ACC-10036,US0000001009,Bond,2329.0,164.1134,382220.11,USD,2024-01-15
ACC-10026,US0000001131,ETF,4142.0,10.564,43756.09,GBP,2024-01-15
ACC-10027,US0000001013,Bond,1019.0,187.2719,190830.07,EUR,2024-01-15
ACC-10029,US0000001013,Bond,1097.0,279.1176,306192.01,GBP,2024-01-15
ACC-10032,US0000001031,Equity,241.0,318.7109,76809.33,EUR,2024-01-15
ACC-10011,US0000001079,Equity,2799.0,280.6032,785408.36,USD,2024-01-15
ACC-10008,US0000001118,Equity,4741.0,327.3777,1552097.68,GBP,2024-01-15
ACC-10019,US0000001130,Bond,3557.0,213.5903,864559.6749386822,GBP,2024-01-15
ACC-10016,US0000001116,ETF,2801.0,197.9571,554477.84,EUR,2024-01-15
ACC-10009,US0000001017,Bond,1454.0,397.103,577387.76,ZZZ,2024-01-15
ACC-10033,US0000001068,Bond,4121.0,148.5911,612343.92,EUR,2024-01-15
ACC-10038,US0000001125,Bond,4340.0,228.8082,993027.59,GBP,2024-01-15
ACC-10022,US0000001141,Bond,3838.0,194.8329,747768.67,USD,2024-01-15
ACC-10016,US0000001146,Bond,1977.0,429.4464,849015.53,USD,2024-01-15
ACC-10021,US0000001121,Bond,3556.0,407.5904,1449391.46,EUR,2024-01-15
ACC-10010,US0000001126,ETF,4828.0,71.8607,346943.46,GBP,2024-01-15
ACC-10007,US0000001112,Equity,589.0,456.1164,268652.56,EUR,2024-01-15
ACC-10010,US0000001104,Equity,4368.0,485.2788,2119697.8,GBP,2024-01-15
ACC-10017,US0000001086,Equity,3154.0,204.7668,645834.49,GBP,2024-01-15
ACC-10035,US0000001097,Bond,4775.0,317.1316,1514303.39,EUR,2024-01-15
ACC-10003,US0000001017,Bond,1250.0,345.3558,431694.75,USD,2024-01-15
ACC-10006,US0000001111,ETF,4894.0,382.5811,1872351.9,USD,2024-01-15
ACC-10029,US0000001042,Equity,3501.0,452.6778,1584824.98,GBP,2024-01-15
ACC-10004,US0000001075,Equity,1856.0,221.0365,410243.74,EUR,2024-01-15
ACC-10027,US0000001144,Equity,3441.0,98.2279,338002.2,USD,2024-01-15
ACC-10040,US0000001097,ETF,3137.0,128.0066,401556.7,USD,2024-01-15
ACC-10015,US0000001118,ETF,3226.0,235.1895,758721.33,USD,2024-01-15
ACC-10030,US0000001073,Bond,3420.0,87.4081,298935.7,GBP,2024-01-15
ACC-10038,US0000001076,Bond,3231.0,217.9114,704071.73,GBP,2024-01-15
ACC-10020,US0000001050,Equity,4997.0,428.1344,2139387.6,USD,2024-01-15
ACC-10025,US0000001146,ETF,1859.0,154.9775,288103.17,GBP,2024-01-15
ACC-10002,US0000001101,ETF,1445.0,287.3052,415156.01,EUR,2024-01-15
ACC-10004,US0000001127,Equity,4181.0,452.4381,1891643.7,EUR,2024-01-15
ACC-10023,US0000001056,ETF,3219.0,314.2367,1011527.94,EUR,2024-01-15
ACC-10009,US0000001024,Bond,4527.0,326.7069,1479002.14,GBP,2024-01-15
ACC-10003,US0000001148,Bond,1888.0,74.3918,140451.72,GBP,2024-01-15
ACC-10027,US0000001044,Bond,1084.0,395.3913,428604.17,EUR,2024-01-15
ACC-10033,US0000001069,Bond,4169.0,135.9153,566630.89,GBP,2024-01-15
ACC-10022,US0000001029,Equity,2395.0,46.8967,-492.24,EUR,2024-01-15
ACC-10026,US0000001142,Equity,1892.0,397.4342,751945.51,GBP,2024-01-15
ACC-10035,US0000001031,ETF,2328.0,339.6859,790788.78,GBP,2024-01-15
ACC-10038,US0000001097,Equity,4130.0,470.743,1944168.59,EUR,2024-01-15
ACC-10015,US0000001120,ETF,223.0,443.2751,98850.35,GBP,2024-01-15
ACC-10040,US0000001056,Bond,3273.0,321.3479,1051771.68,EUR,2024-01-15
ACC-10020,US0000001104,Equity,672.0,32.2199,21651.77,GBP,2024-01-15
ACC-10032,US0000001029,Equity,576.0,444.7571,256180.09,GBP,2024-01-15
ACC-10030,US0000001094,ETF,3385.0,374.1387,1266459.5,GBP,2024-01-15
ACC-10038,US0000001039,Bond,4439.0,330.9117,1468917.04,EUR,2024-01-15
ACC-10027,US0000001071,Bond,260.0,191.5597,49805.52,GBP,2024-01-15
ACC-10016,US0000001092,ETF,587.0,345.9833,203092.2,EUR,2024-01-15
ACC-10023,US0000001015,Equity,2051.0,103.0062,211265.72,GBP,2024-01-15
ACC-10006,US0000001054,Equity,3244.0,302.6015,981639.27,USD,2024-01-15
ACC-10022,US0000001062,Equity,4945.0,395.6193,1956337.44,USD,2024-01-15
ACC-10036,US0000001053,Equity,2973.0,408.396,1214161.31,GBP,2024-01-15
ACC-10010,US0000001000,Equity,1459.0,492.1738,718081.57,EUR,2024-01-15
ACC-10017,US0000001044,Equity,639.0,434.5595,277683.52,USD,2024-01-15
ACC-10023,US0000001060,Bond,2985.0,17.7327,-492.24,USD,2024-01-15
ACC-10009,US0000001107,Bond,2678.0,375.376,1005256.93,GBP,2024-01-15
ACC-10024,US0000001131,Equity,3009.0,231.4827,696531.44,EUR,2024-01-15
ACC-10003,US0000001133,Equity,1578.0,325.2369,513223.83,USD,2024-01-15
ACC-10031,US0000001102,ETF,2189.0,62.9013,137690.95,GBP,2024-01-15
ACC-10005,US0000001020,Equity,1678.0,82.6836,138743.08,ZZZ,2024-01-15
ACC-10040,US0000001149,ETF,2787.0,169.3409,471953.09,EUR,2024-01-15
ACC-10019,US0000001116,ETF,2577.0,220.7977,568995.67,USD,2024-01-15
ACC-10036,US0000001055,Bond,2207.0,445.1646,982478.27,GBP,2024-01-15
ACC-10030,US0000001102,Bond,2138.0,56.5921,120993.91,GBP,2024-01-15
ACC-10017,US0000001095,Bond,4773.0,346.5423,1654046.4,USD,2024-01-15
ACC-10006,US0000001021,ETF,557.0,57.3166,31925.35,GBP,2024-01-15
ACC-10009,US0000001142,ETF,394.0,478.7461,188625.96,GBP,2024-01-15
ACC-10008,US0000001105,Bond,1833.0,336.0169,615918.98,EUR,2024-01-15
ACC-10004,US0000001073,ETF,3042.0,182.3066,554576.68,EUR,2024-01-15
ACC-10014,US0000001039,Equity,3318.0,119.88,397761.84,GBP,2024-01-15
ACC-10036,US0000001094,Equity,663.0,146.4984,114275.32557211582,GBP,2024-01-15
ACC-10036,US0000001142,ETF,229.0,465.2513,106542.55,GBP,2024-01-15
ACC-10002,US0000001046,Bond,1439.0,383.5807,551972.63,GBP,2024-01-15
ACC-10001,US0000001046,Bond,4362.0,287.4973,1254063.22,USD,2024-01-15
ACC-10010,US0000001007,Bond,550.0,269.9365,148465.08,GBP,2024-01-15
ACC-10030,US0000001087,Bond,871.0,162.7023,141713.7,EUR,2024-01-15
ACC-10039,US0000001021,ETF,0.0,86.2342,381845.04,USD,2024-01-15
ACC-10006,US0000001069,ETF,2271.0,217.7672,494549.31,GBP,2024-01-15
ACC-10027,US0000001069,Bond,1156.0,261.0497,301773.45,GBP,2024-01-15
ACC-10008,US0000001072,ETF,3423.0,300.6358,1156675.1134360638,EUR,2024-01-15
ACC-10020,US0000001011,Equity,1181.0,492.3784,581498.89,USD,2024-01-15
ACC-10014,US0000001077,Bond,4732.0,386.0013,1826558.15,GBP,2024-01-15
ACC-10025,US0000001136,ETF,3548.0,255.1285,905195.92,GBP,2024-01-15
ACC-10005,US0000001101,Equity,4323.0,30.7281,132837.58,GBP,2024-01-15
ACC-10005,US0000001080,ETF,2921.0,290.9658,849911.1,EUR,2024-01-15
ACC-10027,US0000001074,Bond,664.0,20.2197,13425.88,USD,2024-01-15
ACC-10040,US0000001117,Equity,4177.0,460.6872,1924290.43,GBP,2024-01-15
ACC-10007,US0000001062,Equity,2235.0,206.2204,460902.59,GBP,2024-01-15
ACC-10020,US0000001086,Equity,1186.0,391.7678,464636.61,EUR,2024-01-15
ACC-10008,US0000001135,Bond,2599.0,453.9021,1179691.56,GBP,2024-01-15
ACC-10010,US0000001060,Equity,604.0,135.4244,81796.34,EUR,2024-01-15
ACC-10010,US0000001019,Bond,968.0,388.6956,376257.34,GBP,2024-01-15
ACC-10037,US0000001148,ETF,2300.0,462.8356,1064521.88,EUR,2024-01-15
ACC-10040,US0000001082,Equity,4335.0,317.3365,1375653.73,GBP,2024-01-15
ACC-10005,US0000001120,Bond,2267.0,158.382,359051.99,EUR,2024-01-15
ACC-10004,US0000001090,Bond,2586.0,162.0998,419190.08,USD,2024-01-15
