account_id,isin,transaction_type,trade_date,settlement_date,quantity,trade_price,gross_amount,commission,net_amount,currency
ACC-10011,US0000001012,SELL,2024-01-15,2024-01-17,821.0,50.1356,41161.33,41.16,41202.49,USD
ACC-10004,US0000001041,BUY,2024-01-15,2024-01-17,533.0,117.6515,62708.25,62.71,62770.96,USD
ACC-10034,US0000001007,SELL,2024-01-15,2024-01-17,357.0,231.3039,82575.49,82.58,82658.07,USD
ACC-10029,US0000001032,BUY,2024-01-15,2024-01-17,233.0,136.867,31890.01,31.89,31921.9,USD
ACC-10029,US0000001022,SELL,2024-01-15,2024-01-17,937.0,130.3201,122109.93,122.11,122232.04,USD
ACC-10033,US0000001023,SELL,2024-01-15,2024-01-17,312.0,298.4124,93104.67,93.1,93197.77,USD
ACC-10015,US0000001001,SELL,2024-01-15,2024-01-17,387.0,38.7341,14990.1,14.99,15005.09,USD
ACC-10010,US0000001008,SELL,2024-01-15,2024-01-17,134.0,276.0449,36990.02,36.99,37027.01,USD
ACC-10009,US0000001048,BUY,2024-01-15,2024-01-17,735.0,140.0944,102969.38,102.97,103072.35,USD
ACC-10006,US0000001001,SELL,2024-01-15,2024-01-17,330.0,252.1393,83205.97,83.21,83289.18,USD
ACC-10008,US0000001049,BUY,2024-01-15,2024-01-17,359.0,97.3338,34942.83,34.94,34977.77,USD
ACC-10016,US0000001026,BUY,2024-01-15,2024-01-17,675.0,190.6151,128665.19,128.67,128793.86,USD
ACC-10008,US0000001031,BUY,2024-01-15,2024-01-17,637.0,14.7663,9406.13,9.41,9415.54,USD
ACC-10010,US0000001018,BUY,2024-01-15,2024-01-17,486.0,188.2948,91511.27,91.51,91602.78,USD
ACC-10037,US0000001026,SELL,2024-01-15,2024-01-17,269.0,203.7823,54817.44,54.82,54872.26,USD
ACC-10005,US0000001033,BUY,2024-01-15,2024-01-17,590.0,238.0596,140455.16,140.46,140595.62,USD
ACC-10025,US0000001030,SELL,2024-01-15,2024-01-17,139.0,122.1956,16985.19,16.99,17002.18,USD
ACC-10017,US0000001047,SELL,2024-01-15,2024-01-17,115.0,238.6708,27447.14,27.45,27474.59,USD
ACC-10016,US0000001046,SELL,2024-01-15,2024-01-17,691.0,40.0625,27683.19,27.68,27710.87,USD
ACC-10009,US0000001002,BUY,2024-01-15,2024-01-17,417.0,108.1787,45110.52,45.11,45155.63,USD
ACC-10030,US0000001044,BUY,2024-01-15,2024-01-17,531.0,62.8606,33378.98,33.38,33412.36,USD
ACC-10005,US0000001045,SELL,2024-01-15,2024-01-17,799.0,142.7271,114038.95,114.04,114152.99,USD
ACC-10013,US0000001002,SELL,2024-01-15,2024-01-17,812.0,266.8792,216705.91,216.71,216922.62,USD
ACC-10020,US0000001032,SELL,2024-01-15,2024-01-17,458.0,246.4678,112882.25,112.88,112995.13,USD
ACC-10017,US0000001002,SELL,2024-01-15,2024-01-17,778.0,65.42,50896.76,50.9,50947.66,USD
ACC-10004,US0000001041,SELL,2024-01-15,2024-01-17,399.0,46.0978,18393.02,18.39,18411.41,USD
ACC-10028,US0000001025,SELL,2024-01-15,2024-01-17,769.0,269.4449,207203.13,207.2,207410.33,USD
ACC-10022,US0000001011,SELL,2024-01-15,2024-01-17,547.0,154.2818,84392.14,84.39,84307.75,USD
ACC-10006,US0000001046,BUY,2024-01-15,2024-01-17,482.0,134.8761,65010.28,65.01,65075.29,USD
ACC-10035,US0000001018,SELL,2024-01-15,2024-01-17,389.0,33.22,12922.58,12.92,12935.5,USD
ACC-10020,US0000001028,SELL,2024-01-15,2024-01-17,642.0,133.5737,85754.32,85.75,85840.07,USD
ACC-10023,US0000001028,UNKNOWN,2024-01-15,2024-01-17,138.0,262.3108,36198.89,36.2,36235.09,USD
ACC-10040,US0000001027,BUY,2024-01-15,2024-01-17,347.0,294.2079,102090.14,102.09,102192.23,USD
ACC-10005,US0000001042,BUY,2024-01-15,2024-01-17,674.0,115.3602,77752.77,77.75,77830.52,USD
ACC-10002,US0000001009,SELL,2024-01-15,2024-01-17,864.0,206.6458,178541.97,178.54,178720.51,USD
ACC-10003,US0000001008,SELL,2024-01-15,2024-01-17,161.0,235.7695,37958.89,37.96,37996.85,USD
ACC-10024,US0000001024,BUY,2024-01-15,2024-01-17,955.0,19.3917,18519.07,18.52,18537.59,USD
,US0000001023,BUY,2024-01-15,2024-01-17,435.0,231.2945,100613.11,100.61,100713.72,USD
ACC-10034,US0000001023,BUY,2024-01-15,2024-01-17,458.0,198.3726,90854.65,90.85,90945.5,USD
ACC-10008,US0000001001,SELL,2024-01-15,2024-01-17,762.0,154.7227,117898.7,117.9,118016.6,USD
ACC-10036,US0000001007,SELL,2024-01-15,2024-01-17,336.0,85.484,28722.62,28.72,28751.34,USD
ACC-10014,US0000001039,SELL,2024-01-15,2024-01-17,0.0,275.7789,98453.07,98.45,98551.52,USD
ACC-10013,US0000001007,BUY,2024-01-15,2024-01-17,222.0,31.4751,6987.47,6.99,6994.46,USD
ACC-10029,US0000001005,SELL,2024-01-15,2024-01-17,829.0,290.5928,240901.43,240.9,241142.33,USD
ACC-10023,US0000001045,SELL,2024-01-15,2024-01-17,158.0,167.2297,26422.29,26.42,26448.71,USD
ACC-10011,US0000001045,BUY,2024-01-15,2024-01-17,739.0,213.0636,157454.0,157.45,157611.45,USD
ACC-10024,US0000001032,BUY,2024-01-15,2024-01-17,302.0,295.6884,89297.9,89.3,89387.2,USD
ACC-10016,US0000001031,SELL,2024-01-15,2024-01-17,124.0,170.6662,21162.61,21.16,21183.77,USD
ACC-10030,US0000001035,BUY,2024-01-15,2024-01-17,217.0,266.4315,57815.64,57.82,57873.46,USD
ACC-10020,US0000001025,SELL,2024-01-15,2024-01-17,1000.0,218.4722,218472.2,218.47,218690.67,USD
ACC-10027,US0000001036,BUY,2024-01-15,2024-01-17,166.0,291.9901,48470.36,48.47,48518.83,USD
ACC-10029,US0000001029,BUY,2024-01-15,2024-01-17,712.0,109.9093,78255.42,78.26,78333.68,USD
ACC-10009,US0000001027,BUY,2024-01-15,2024-01-17,553.0,261.7814,144765.11,144.77,144909.88,USD
ACC-10034,US0000001009,BUY,2024-01-15,2024-01-17,374.0,56.9704,21306.93,21.31,21328.24,USD
ACC-10023,US0000001033,SELL,2024-01-15,2024-01-17,905.0,255.3208,231065.32,231.07,231296.39,USD
ACC-10013,US0000001040,SELL,2024-01-15,2024-01-17,961.0,89.5908,86096.76,86.1,86182.86,USD
ACC-10040,US0000001034,BUY,2024-01-15,2024-01-17,184.0,195.8864,36043.1,36.04,36079.14,USD
ACC-10011,US0000001042,SELL,2024-01-15,2024-01-17,662.0,271.5803,179786.16,179.79,179965.95,USD
ACC-10037,US0000001002,BUY,2024-01-15,2024-01-17,843.0,18.2283,15366.46,15.37,15381.83,USD
ACC-10037,US0000001016,SELL,2024-01-15,2024-01-17,686.0,232.4181,159438.82,159.44,159598.26,USD
ACC-10040,US0000001040,SELL,2024-01-15,2024-01-17,127.0,267.8091,34011.76,34.01,34045.77,USD
ACC-10020,US0000001030,SELL,2024-01-15,2024-01-17,320.0,244.1313,78122.02,78.12,78200.14,USD
ACC-10020,US0000001029,SELL,2024-01-15,2024-01-17,166.0,27.3748,4544.22,4.54,4548.76,USD
ACC-10027,US0000001030,BUY,2024-01-15,2024-01-17,518.0,108.6558,56283.7,56.28,56339.98,USD
ACC-10021,US0000001045,SELL,2024-01-15,2024-01-17,387.0,296.5268,114755.87,114.76,114870.63,USD
ACC-10026,US0000001008,BUY,2024-01-15,2024-01-17,785.0,159.3442,125085.2,125.09,125210.29,USD
ACC-10021,US0000001015,BUY,2024-01-15,2024-01-17,520.0,87.5668,45534.74,45.53,45580.27,USD
ACC-10010,US0000001006,SELL,2024-01-15,2024-01-17,146.0,284.1616,41487.59,41.49,41529.08,USD
ACC-10016,US0000001010,SELL,2024-01-15,2024-01-17,832.0,280.7879,233615.53,233.62,233849.15,USD
ACC-10013,US0000001048,SELL,2024-01-15,2024-01-17,243.0,298.8311,72615.96,72.62,72688.58,USD
ACC-10032,US0000001019,SELL,2024-01-15,2024-01-17,548.0,36.1142,19790.58,19.79,19810.37,USD
ACC-10033,US0000001029,SELL,2024-01-15,2024-01-17,970.0,72.3919,70220.14,70.22,70290.36,USD
ACC-10004,US0000001003,SELL,2024-01-15,2024-01-17,353.0,183.2804,64697.98,64.7,64762.68,USD
ACC-10019,US0000001034,BUY,2024-01-15,2024-01-17,107.0,41.1742,4405.64,4.41,4410.05,USD
ACC-10017,US0000001046,BUY,2024-01-15,2024-01-17,429.0,126.9437,54458.85,54.46,54513.31,USD
ACC-10026,US0000001003,SELL,2024-01-15,2024-01-17,613.0,66.45,40733.85,40.73,40774.58,USD
,US0000001024,SELL,2024-01-15,2024-01-17,554.0,231.6772,128349.17,128.35,128477.52,USD
ACC-10040,US0000001043,BUY,2024-01-15,2024-01-17,650.0,47.3124,30753.06,30.75,30783.81,USD
ACC-10026,US0000001023,SELL,2024-01-15,2024-01-17,815.0,108.3347,88292.78,88.29,88381.07,USD
ACC-10010,US0000001012,BUY,2024-01-15,2024-01-13,642.0,126.4023,81150.28,81.15,81231.43,USD
ACC-10003,US0000001002,SELL,2024-01-15,2024-01-17,223.0,106.5818,23767.74,23.77,23791.51,USD
ACC-10034,US0000001029,BUY,2024-01-15,2024-01-17,234.0,269.0082,62947.92,62.95,63010.87,USD
ACC-10021,US0000001039,SELL,2024-01-15,2024-01-17,387.0,123.9568,47971.28,47.97,48019.25,USD
ACC-10038,US0000001021,SELL,2024-01-15,2024-01-17,557.0,157.8171,87904.12,87.9,87992.02,USD
ACC-10037,US0000001019,SELL,2024-01-15,2024-01-17,527.0,14.8247,7812.62,7.81,7820.43,USD
ACC-10008,US0000001026,UNKNOWN,2024-01-15,2024-01-17,625.0,241.0589,150661.81,150.66,150812.47,USD
ACC-10039,US0000001030,BUY,2024-01-15,2024-01-17,339.0,200.1214,67841.15,67.84,67908.99,USD
ACC-10004,US0000001037,SELL,2024-01-15,2024-01-17,532.0,162.0274,86198.58,86.2,86284.78,USD
ACC-10010,US0000001043,BUY,2024-01-15,2024-01-17,318.0,176.0454,55982.44,55.98,56038.42,USD
ACC-10013,US0000001001,SELL,2024-01-15,2024-01-17,497.0,131.4463,65328.81,65.33,65394.14,USD
ACC-10014,US0000001026,SELL,2024-01-15,2024-01-13,552.0,187.3286,103405.39,103.41,103508.8,USD
ACC-10004,US0000001045,SELL,2024-01-15,2024-01-17,224.0,70.1291,15708.92,15.71,15724.63,USD
ACC-10031,US0000001033,SELL,2024-01-15,2024-01-17,439.0,287.4388,126185.63,126.19,126311.82,USD
ACC-10035,US0000001021,SELL,2024-01-15,2024-01-17,592.0,206.0019,121953.12,121.95,122075.07,USD
ACC-10040,US0000001030,SELL,2024-01-15,2024-01-17,273.0,81.4905,22246.91,22.25,22269.16,USD
ACC-10015,US0000001019,SELL,2024-01-15,2024-01-17,794.0,214.4213,170250.51,170.25,170420.76,USD
,US0000001030,SELL,2024-01-15,2024-01-17,414.0,280.7731,116240.06,116.24,116356.3,USD
ACC-10019,US0000001007,SELL,2024-01-15,2024-01-17,616.0,167.5254,103195.65,103.2,103298.85,USD
ACC-10023,US0000001049,SELL,2024-01-15,2024-01-17,824.0,94.2313,77646.59,77.65,77724.24,USD
ACC-10006,US0000001022,SELL,2024-01-15,2024-01-17,932.0,200.2319,186616.13,186.62,186802.75,USD
ACC-10014,US0000001012,SELL,2024-01-15,2024-01-17,845.0,88.6285,74891.08,74.89,74965.97,USD
ACC-10009,US0000001006,BUY,2024-01-15,2024-01-17,654.0,180.1808,117838.24,117.84,117956.08,USD
ACC-10004,US0000001042,BUY,2024-01-15,2024-01-17,915.0,75.4448,69031.99,69.03,69101.02,USD
ACC-10004,US0000001006,BUY,2024-01-15,2024-01-17,472.0,218.0338,102911.95,102.91,102809.04,USD
ACC-10009,US0000001000,BUY,2024-01-15,2024-01-13,968.0,293.5941,284199.09,284.2,284483.29,USD
ACC-10027,US0000001041,SELL,2024-01-15,2024-01-17,942.0,264.7359,249381.22,249.38,249630.6,USD
ACC-10013,US0000001048,BUY,2024-01-15,2024-01-17,968.0,103.1386,99838.16,99.84,99738.32,USD
ACC-10006,US0000001041,BUY,2024-01-15,2024-01-17,617.0,165.1942,101924.82,101.92,102026.74,USD
ACC-10012,US0000001026,BUY,2024-01-15,2024-01-17,894.0,60.9787,54514.96,54.51,54569.47,USD
ACC-10026,US0000001031,SELL,2024-01-15,2024-01-17,268.0,227.2109,60892.52,60.89,60953.41,USD
ACC-10003,US0000001000,SELL,2024-01-15,2024-01-17,369.0,184.8071,68193.82,68.19,68262.01,USD
ACC-10019,US0000001029,SELL,2024-01-15,2024-01-17,990.0,167.5571,165881.53,165.88,166047.41,USD
ACC-10009,US0000001032,BUY,2024-01-15,2024-01-17,521.0,65.9153,34341.87,34.34,34376.21,USD
ACC-10022,US0000001010,BUY,2024-01-15,2024-01-17,0.0,198.0027,150086.05,150.09,150236.14,USD
ACC-10001,US0000001047,BUY,2024-01-15,2024-01-17,403.0,95.557,38509.47,38.51,38547.98,USD
ACC-10012,US0000001039,SELL,2024-01-15,2024-01-17,871.0,270.1424,235294.03,235.29,235058.74,USD
ACC-10033,US0000001020,BUY,2024-01-15,2024-01-17,178.0,204.0842,36326.99,36.33,36363.32,USD
ACC-10009,US0000001030,SELL,2024-01-15,2024-01-17,391.0,81.9337,32036.08,32.04,32068.12,USD
ACC-10025,US0000001015,SELL,2024-01-15,2024-01-17,502.0,87.4284,43889.06,43.89,43932.95,USD
ACC-10020,US0000001037,SELL,2024-01-15,2024-01-17,751.0,13.3164,10000.62,10.0,10010.62,USD
ACC-10016,US0000001003,BUY,2024-01-15,2024-01-17,701.0,144.9645,101620.11,101.62,101721.73,USD
ACC-10026,US0000001043,SELL,2024-01-15,2024-01-17,552.0,269.5843,148810.53,148.81,148959.34,USD
ACC-10008,US0000001040,BUY,2024-01-15,2024-01-17,925.0,95.5609,88393.83,88.39,88482.22,USD
ACC-10015,US0000001008,SELL,2024-01-15,2024-01-17,530.0,141.9438,75230.21,75.23,75305.44,USD
ACC-10027,US0000001044,BUY,2024-01-15,2024-01-17,594.0,146.5401,87044.82,87.04,87131.86,USD
ACC-10016,US0000001043,BUY,2024-01-15,2024-01-17,779.0,263.2092,205039.97,205.04,205245.01,USD
ACC-10034,US0000001028,BUY,2024-01-15,2024-01-17,575.0,114.9176,66077.62,66.08,66143.7,USD
