isin,close_price,bid_price,ask_price,volume,price_date,price_currency
US0000001040,248.4626,248.4084,248.557,888992.0,2024-01-15,USD
US0000001041,242.0098,241.9758,242.0496,2901467.0,2024-01-15,USD
US0000001042,265.1295,265.08,265.1414,1882023.0,2024-01-15,USD
US0000001043,449.1188,449.0962,449.1787,4148830.0,2024-01-15,USD
US0000001044,63.2021,63.1316,63.2374,1294978.0,2024-01-15,USD
US0000001045,366.2274,366.1482,366.2471,3331170.0,2024-01-15,USD
US0000001046,-7.189,458.8151,458.8592,792184.0,2024-01-15,USD
US0000001047,191.7519,191.6672,191.8346,2818777.0,2024-01-15,USD
US0000001048,165.3981,165.3023,165.4343,3147113.0,2024-01-15,USD
US0000001049,135.4229,137.4313995040254,135.4477,2623779.0,2024-01-15,USD
US0000001050,32.0062,31.957,32.1055,842545.0,2024-01-15,USD
US0000001051,376.8179,376.7277,376.9083,4469218.0,2024-01-15,USD
US0000001052,264.2406,264.2022,264.3201,1744359.0,2024-01-15,USD
US0000001053,,193.0738,193.1695,3342140.0,2024-01-15,USD
US0000001054,138.6057,138.5114,138.6374,256364.0,2024-01-15,USD
US0000001055,417.2452,417.2214,417.2713,701513.0,2024-01-15,USD
US0000001056,303.6976,303.6089,303.7253,1474492.0,2024-01-15,USD
US0000001057,390.9284,390.8309,390.9835,1620585.0,2024-01-15,USD
US0000001058,80.5098,80.4985,80.5405,1468557.0,2024-01-15,USD
US0000001059,342.0528,342.0318,342.1084,745928.0,2024-01-15,USD
US0000001060,350.1886,350.1263,350.2166,4335140.0,2024-01-15,USD
US0000001061,360.5495,360.473,360.5713,4040210.0,2024-01-15,USD
US0000001062,70.6394,70.5459,70.6852,4868290.0,2024-01-15,USD
US0000001063,249.4062,249.3365,249.5022,1574648.0,2024-01-15,USD
US0000001064,150.3587,150.2655,150.3709,3024986.0,2024-01-15,USD
US0000001065,320.6478,320.6283,320.6704,2820470.0,2024-01-15,USD
US0000001066,215.366,215.269,215.4296,989194.0,2024-01-15,USD
US0000001067,404.1368,404.0847,404.2174,4671813.0,2024-01-15,USD
US0000001068,18.74,18.7202,18.8246,1327514.0,2024-01-15,USD
US0000001069,123.994,123.9362,124.0585,4004403.0,2024-01-15,USD
US0000001070,435.1921,435.1278,435.2392,682582.0,2024-01-15,USD
US0000001071,218.6822,218.6135,218.7703,1933501.0,2024-01-15,USD
US0000001072,232.4095,232.3772,232.4408,4973448.0,2024-01-15,USD
US0000001073,410.1187,410.0992,410.1347,3755469.0,2024-01-15,USD
US0000001074,,301.2493,301.3567,1661747.0,2024-01-15,USD
US0000001075,80.4972,80.4043,80.5221,1620639.0,2024-01-15,USD
US0000001076,149.5128,149.489,149.5332,2747392.0,2024-01-15,USD
US0000001077,37.1438,37.1181,37.1586,,2024-01-15,USD
US0000001078,299.6605,299.5892,299.7059,4158267.0,2024-01-15,USD
US0000001079,257.2179,257.1291,257.3045,1658156.0,2024-01-15,USD
US0000001080,31.3028,31.2765,31.3341,1217542.0,2024-01-15,USD
US0000001081,289.904,289.8565,289.9184,1321999.0,2024-01-15,USD
US0000001082,193.0709,193.0138,193.0901,557272.0,2024-01-15,USD
US0000001083,35.4613,35.3681,35.4802,,2024-01-15,USD
US0000001084,423.3517,423.2605,423.4499,1671411.0,2024-01-15,USD
US0000001085,391.944,391.8762,392.0241,4029926.0,2024-01-15,USD
US0000001086,75.9306,75.8724,75.9869,4838219.0,2024-01-15,USD
US0000001087,236.7717,236.727,236.8393,4302103.0,2024-01-15,USD
US0000001088,140.567,140.5444,140.62,909091.0,2024-01-15,USD
US0000001089,123.9593,123.9162,124.0023,2142757.0,2024-01-15,USD
US0000001090,170.4728,170.4286,170.5445,1253686.0,2024-01-15,USD
US0000001091,474.9404,474.8479,474.9937,1554694.0,2024-01-15,USD
US0000001092,170.897,170.8388,170.9834,2497339.0,2024-01-15,USD
US0000001093,404.152,404.0941,404.219,3297677.0,2024-01-15,USD
US0000001094,151.1963,151.9733603018148,151.2245,3027480.0,2024-01-15,USD
US0000001095,431.7523,431.7304,431.8176,3504510.0,2024-01-15,USD
US0000001096,56.5969,56.5216,56.6145,2663814.0,2024-01-15,USD
US0000001097,77.3299,77.2336,77.412,4686105.0,2024-01-15,USD
US0000001098,300.9042,300.8238,300.9858,4663720.0,2024-01-15,USD
US0000001099,134.1578,134.0947,134.1764,4735532.0,2024-01-15,USD
US0000001100,311.9212,311.8958,311.982,138482.0,2024-01-15,USD
US0000001101,238.3327,238.2757,238.4115,2904909.0,2024-01-15,USD
US0000001102,401.6299,401.5756,401.6939,781763.0,2024-01-15,USD
US0000001103,68.6695,68.649,68.6874,4663057.0,2024-01-15,USD
US0000001104,332.353,332.3053,332.4327,1120497.0,2024-01-15,USD
US0000001105,-7.189,173.3916,173.5611,3389033.0,2024-01-15,USD
US0000001106,142.5621,142.5193,142.6004,1633783.0,2024-01-15,USD
US0000001107,82.4139,82.3196,82.4633,872297.0,2024-01-15,USD
US0000001108,197.8267,197.751,197.8865,4750424.0,2024-01-15,USD
US0000001109,392.3477,392.2946,392.3916,4687085.0,2024-01-15,USD
US0000001110,493.4495,493.3749,493.5451,2176638.0,2024-01-15,USD
US0000001111,426.7615,426.6942,426.7825,680545.0,2024-01-15,USD
US0000001112,298.2464,298.1747,298.2575,568819.0,2024-01-15,USD
US0000001113,414.4458,414.4092,414.4971,2326158.0,2024-01-15,USD
US0000001114,226.7339,226.6967,226.8266,3717307.0,2024-01-15,USD
US0000001115,64.1883,64.0886,64.2774,3928340.0,2024-01-15,USD
US0000001116,149.1151,149.0298,149.1347,3362173.0,2024-01-15,USD
US0000001117,336.1855,336.117,336.2036,4995613.0,2024-01-15,USD
US0000001118,449.5464,449.5338,449.5781,2321132.0,2024-01-15,USD
US0000001119,390.6163,390.5885,390.7083,800807.0,2024-01-15,XXX
US0000001120,331.5718,331.5585,331.5823,865996.0,2024-01-15,USD
US0000001121,306.9033,306.8212,306.9348,353123.0,2024-01-15,USD
US0000001122,426.2103,426.1951,426.2924,4844161.0,2024-01-15,USD
US0000001123,388.3331,388.2603,388.4185,4646197.0,2024-01-15,USD
US0000001124,29.6741,29.6459,29.6953,3517132.0,2024-01-15,USD
US0000001125,375.1422,375.0755,375.2288,2572201.0,2024-01-15,USD
US0000001126,86.0544,85.9783,86.0818,177172.0,2024-01-15,USD
US0000001127,357.8533,357.7551,357.9183,1426717.0,2024-01-15,USD
US0000001128,36.7052,36.6397,36.719,1173765.0,2024-01-15,USD
US0000001129,357.6934,357.6678,357.7117,4432313.0,2024-01-15,USD
US0000001130,99.9313,99.8331,99.9826,2760762.0,2024-01-15,USD
US0000001131,321.8401,321.7786,321.8632,3941996.0,2024-01-15,USD
US0000001132,473.552,473.5149,473.614,2733981.0,2024-01-15,USD
US0000001133,328.1242,328.0295,328.1476,3528902.0,2024-01-15,USD
US0000001134,259.0928,259.0464,259.1455,733748.0,2024-01-15,USD
US0000001135,75.7064,75.6714,75.7438,684165.0,2024-01-15,USD
US0000001136,219.6726,221.49415643582535,219.7397,4860166.0,2024-01-15,USD
US0000001137,210.3037,210.2741,210.3666,2117873.0,2024-01-15,USD
US0000001138,165.35,165.3368,165.3977,2438649.0,2024-01-15,USD
US0000001139,120.5405,120.479,120.6014,2423250.0,2024-01-15,USD
US0000001140,353.9811,353.9128,354.0498,3121555.0,2024-01-15,USD
US0000001141,395.8418,395.7824,395.8906,1649449.0,2024-01-15,USD
US0000001142,,316.7036,316.8022,,2024-01-15,USD
US0000001143,444.3374,444.2445,444.3927,3709857.0,2024-01-15,USD
US0000001144,264.9348,264.8528,264.9731,2644528.0,2024-01-15,USD
US0000001145,252.1294,252.109,252.1459,4203173.0,2024-01-15,USD
US0000001146,422.5767,422.5617,422.612,2869946.0,2024-01-15,USD
US0000001147,,94.729,94.8441,1737237.0,2024-01-15,USD
US0000001148,17.1946,17.1102,17.2817,2134529.0,2024-01-15,XXX
US0000001149,85.2703,85.2062,85.2911,1924081.0,2024-01-15,USD
US0000001000,389.2385,389.189,389.3258,521133.0,2024-01-15,USD
US0000001001,56.1469,56.97102695638745,56.2254,3517103.0,2024-01-15,USD
